Gramaj,Produs,Caloriile (kCal),Proteine (g),Grasimi totale (g),Grasimi saturate(g),Grasimi nesaturate (g),Colesterol (mg),Carbohidrati totali (g),Zaharuri totale (g),Zaharuri adaugate (g),Sodiu (mg)
119 g,Veg McMuffin,309.35,10.22,11.78,7.29,0.18,25.31,38.86,3.02,0.75,804.63
100 g,Double Cheese McMuffin,273.78,9.58,12.82,8.84,0.21,37.75,29,2.59,0.75,622.95
123.2 g,Spicy Egg McMuffin,278.27,11.49,11.81,3.43,0.11,212.61,31.37,2.63,1.05,773.6
112 g,Sausage Mc Muffin,281.44,16.25,10.81,6.04,0.17,53.02,28.62,2.38,0.75,742.6
157 g,Sausage Mc Muffin with egg,290.42,22.46,15.94,8.08,0.22,264.8,28.87,2.61,0.75,804.04
112 g,Egg McMuffin,283.46,14.05,12.31,6.92,0.17,233.3,28.12,2.38,0.75,519.31
142 g,Hot Cake with maple syrup,432.98,8.6,14.02,7.11,0.32,28.14,68.01,25.72,13.5,615.74
64 g,Hash Brown,140.29,1.93,7.32,3.42,0.06,0.64,15.63,0.32,0,275.26
26.5 ml,Espresso,12.87,0.52,0.03,0.03,0.03,0.27,2.55,0.13,0,0.32
76.5 ml,Espresso Machiato,44.98,2.09,2.02,1.49,0.08,6.27,4.97,2.5,0,26.05
276.5 ml,Americano (S),12.87,0.52,0.03,0.03,0.03,0.27,2.55,0.13,0,0.32
347.5 ml,Americano (R),23.07,0.94,0.05,0.05,0.05,0.48,4.57,0.24,0,0.57
455 ml,Americano (L),26.71,1.09,0.06,0.06,0.06,0.55,5.3,0.28,0,0.65
201.5 ml,Cappuccino (S),125.25,6.02,7.01,5.15,0.2,21.27,11.02,8.4,0,90.39
297.5 ml,Cappuccino (R),183.61,8.79,10.02,7.37,0.3,30.48,16.67,12.05,0,129.24
355 ml,Cappuccino (L),219.36,10.51,12.03,8.85,0.36,36.55,19.81,14.45,0,155.06
236.5 ml,Latte (S),147.72,7.12,8.41,6.18,0.24,25.47,12.71,10.06,0,108.4
307.5 ml,Latte (R),190.03,9.1,10.42,7.67,0.31,31.68,17.15,12.52,0,134.39
375 ml,Latte (L),232.2,11.14,12.82,9.43,0.38,38.95,20.77,15.4,0,165.36
266.5 ml,Flat White (S),166.99,8.06,9.6,7.06,0.27,29.07,14.16,11.47,0,123.84
347.5 ml,Flat White (R),215.72,10.36,12.02,8.84,0.35,36.48,19.08,14.41,0,154.98
405 ml,Flat White (L),251.47,12.08,14.02,10.31,0.41,42.55,22.22,16.81,0,180.8
242.5 ml,Mocha (S),185.85,7.15,8.2,5.94,0.26,24.43,22.59,17.57,6.08,132.84
311.5 ml,Mocha (R),244,8.99,9.91,7.17,0.34,29.52,31.72,23.56,9.12,168.47
377 ml,Mocha (L),302.02,10.88,12.01,8.67,0.41,35.67,40.04,29.96,12.16,209.09
127 ml,Babycino,143.5,3.87,4.38,3.08,0.15,12.27,22.85,18.53,9.21,96.44
223 ml,Hot Chocolate (S),239.42,6.73,7.77,5.49,0.26,22.03,37.08,30.31,15.29,167.21
259 ml,Hot Chocolate (R),296.81,7.7,8.76,6.13,0.32,24.59,48.41,39.24,21.37,207.09
367 ml,Hot Chocolate (L),383.29,11.01,12.84,9.09,0.43,36.67,58.43,47.96,24.41,273.35
153 ml,Premium Dark Hot Chocolate,214.21,6.15,5.96,4.27,0.15,14.73,33.04,25.73,1.04,68.28
