Produs,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
Veg McMuffin,1.1564407021811407,-0.6830589424996183,-0.18377040407694095,0.49233807771649735,0.42476750254385104,0.16258587342145273,-0.17150255728153924,0.45144478141434796,-0.26622668819150647,-0.10466556269136224
Double Cheese McMuffin,0.980645379462022,-0.9406787491185318,-0.3115320574734713,0.30515524595602195,-0.19886156945100697,0.02674994798724688,-0.2710638352698332,0.34553304444756894,-0.135888475459471,-0.056511982179737866
Spicy Egg McMuffin,1.6545932334008955,-1.4315796968952208,-0.9103545768264073,-3.071944663392863,0.39460476714740583,0.7649777646342185,-0.4715340955687067,-0.045223644605791716,-0.21630085470493945,0.02735060299766557
Sausage Mc Muffin,1.2116440736893308,-1.1147750336493367,-0.21768128646966067,-0.2346534283874667,0.4094506603922496,-0.2989704453009227,0.26394028904744016,0.41352909014205436,0.004679192250002828,-0.08389425947681331
Sausage Mc Muffin with egg,3.015987847329915,-1.6992789761230973,-1.167958975814914,-3.8745550062867657,-0.3677854116105787,0.24262691310027454,-0.04688926349439932,0.19945779539503447,0.11138918004951287,-0.2571477651233279
Egg McMuffin,1.9234379858310198,-1.5246324395265096,-1.1361348394499664,-3.311458560773482,-0.4594669162248026,0.7557192496791292,-0.3029125933175523,0.15186413578569966,0.1179029014192803,0.040314457800002854
Hot Cake with maple syrup,1.443662523516854,1.5233135272919254,-0.021784696910628804,0.28135068623272214,0.39101518995755047,0.8149905504550314,0.11403662685275644,0.1471281069307338,-0.20578924507142268,-0.09877587922017553
Hash Brown,-0.997230533794972,-1.3265141753266514,-0.14930022700183943,0.6042797789830088,0.11155816348972934,0.12590653693538414,-0.3347413645125634,-0.01157907191246583,-0.05059220677513301,0.03481855179745097
Espresso,-2.3343601838823327,-1.7348350325485795,-0.1381406407740801,0.19687778977465906,0.16782193965200043,-0.04664549845983454,-0.07020229509293764,0.03180949674761222,0.04643467190483252,0.025262419564560046
Espresso Machiato,-1.9166404391042917,-1.578579711873522,-0.16575381240708587,0.17724353206858812,-0.034067931578618746,-0.0660528402416544,0.0013054894015531464,0.01650011347648053,0.030292795970571683,0.01949092770652673
Americano (S),-2.3343601838823327,-1.7348350325485795,-0.1381406407740801,0.19687778977465906,0.16782193965200043,-0.04664549845983454,-0.07020229509293764,0.03180949674761222,0.04643467190483252,0.025262419564560046
Americano (R),-2.2604103926052685,-1.680091855731923,-0.1346115617829743,0.202459903468397,0.20113415491403352,0.00038648197811356626,-0.025735692772831185,0.0582021026419932,0.07504164509636808,0.017736470407597068
Americano (L),-2.2335718091173953,-1.660325479948119,-0.1330084081335508,0.20469981541287496,0.21259146811133006,0.01743986897708988,-0.009978603033530717,0.06778043912374349,0.08526251459165102,0.014722583768532704
Cappuccino (S),-0.8705986143372156,-1.188769343243432,-0.23587494117672722,0.12918423886473443,-0.5398896257484819,-0.11503508822148865,0.17914365234350504,-0.021584503099370655,-0.008980645174644893,0.00441898068766873
Cappuccino (R),-0.16923466961786313,-0.9001307041101235,-0.2734744770285182,0.10601812772365582,-0.810950419780908,-0.09676255177816104,0.32957256182041134,-0.017399521145374935,-0.0044510581680831905,-0.012009687138620995
Cappuccino (L),0.27643746614742504,-0.7246045079769011,-0.2998070254104886,0.08933738110252362,-1.0029922632241,-0.0995376953546942,0.4159457382037077,-0.022949413443241595,-0.010139110680731955,-0.020979705696933363
Latte (S),-0.5772785988674082,-1.0794555793237264,-0.25468519934995715,0.11578997023762547,-0.6827191285885804,-0.1288093684505547,0.22879378506070866,-0.03209847610925463,-0.02036788553165836,9.7949504453978e-05
Latte (R),-0.08522818536292709,-0.868974743348051,-0.2793190911133822,0.10260553617163495,-0.8525917499615273,-0.10065590919145875,0.34310434426092473,-0.01997338567320534,-0.00787706425686421,-0.013176322414080222
Latte (L),0.44295215810042154,-0.6622775933522856,-0.31069818130273436,0.08109245061228772,-1.083183597182535,-0.10758204149139679,0.44499827194532926,-0.029031710412969258,-0.016653253846007608,-0.022978338707320998
