,Varianta,Varianta cumulata,Procent varianta,Procent cumulat
C1,5.031030269936098,5.031030269936098,50.31030269936092,50.31030269936092
C2,2.4378958370803945,7.468926107016492,24.378958370803915,74.68926107016483
C3,1.0565091794974018,8.525435286513893,10.565091794974004,85.25435286513883
C4,0.739581262411545,9.265016548925438,7.395812624115441,92.65016548925426
C5,0.3693134536203834,9.634330002545822,3.6931345362038295,96.34330002545809
C6,0.17012301225081217,9.804453014796634,1.7012301225081194,98.04453014796621
C7,0.09020711835486007,9.894660133151493,0.9020711835485996,98.94660133151481
C8,0.05344795139638706,9.948108084547881,0.53447951396387,99.48108084547869
C9,0.04760237262816782,9.995710457176049,0.4760237262816776,99.95710457176037
C10,0.004289542823963221,10.000000000000012,0.04289542823963216,100.0
