Produs,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
9 piece Chicken McNuggets,0.008344747050798507,0.004641581088624286,0.0003778160328199838,3.1373861288604096e-05,0.0016267574286727357,0.02128317192648934,0.011973343607384355,5.450826426822244e-05,0.03607743727202426,0.0028243262100070615
2 piece Chicken Strips,0.0002810307543050877,0.00835380843931185,0.0010530227930596638,0.0014246253902882374,0.02315719337804386,0.028773803572068296,0.010392590554270694,0.016271594795125712,0.0024775861846132335,0.0002752799231797937
3 piece Chicken Strips,0.005004981181551472,0.007822783571191181,0.0018341147726233394,0.002242075814995399,0.05623876284900825,0.059356474797237935,0.018306797619584283,0.036783152804232666,0.005886167633060664,0.002260663609575927
5 piece Chicken Strips,0.009775459012504935,0.030370500507741538,0.919093671632152,0.014208469169805778,0.011939458930350231,0.006108009463633521,0.0004487008257446425,0.000722316373357982,9.433395308028115e-06,1.062929069208471e-08
Regular Fries,0.00027642595462571074,0.0027149322699633292,0.00026164697108752765,0.006299665133119067,7.142788336672704e-05,0.01119100833579282,0.0027818902466015807,1.1464292401309455e-05,0.01286472543374743,0.006087349949157197
Medium Fries,0.00020620573252584046,0.0011103965820267801,0.0003270300935817231,0.010953247268848873,0.00037259526977488996,0.025203039980996964,0.0035979899689976363,1.7113700198090407e-05,0.025250699527803126,0.008401116616843667
Large Fries,0.003354156732997522,4.8015847064123935e-05,0.0004324509357010623,0.019670573884976988,0.0011962417931035293,0.05442320138520402,0.0049749384898005,3.13366218683138e-05,0.049632233333217673,0.01240839598443816
Regular Wedges,0.0003718495266972154,0.0028767057766478704,0.00010762958732618917,0.0042520753980099385,0.0037435601445149776,0.0071105466137555366,0.0018295943270675884,0.0046404706515566704,7.044347796614675e-05,0.00015912681175838376
Medium Wedges,5.2141328103514756e-05,0.0014095036747599492,9.916034668650888e-05,0.006790939853320541,0.005969366291139552,0.015201034418176352,0.0020675348043910167,0.008703611289058288,0.00010226993904343556,0.001162882249469347
Large Wedges,0.002030436947562974,0.0002115160003888754,8.648346401208217e-05,0.011445895181709567,0.010022461408303986,0.03208101439570502,0.002450442169679196,0.01681402463350297,0.0001501672037818139,0.004146181446233404
L1 Coffee,0.008053018331014893,0.00899408247084176,0.00014180377242483386,0.0003918358612770931,0.00045885389937818754,0.00010354040096092164,0.0010601034178660533,3.0320773348624164e-05,7.80340174722114e-05,0.0013683708113366364
L1 Coffee with milk,0.0060789839115489575,0.007606047327498371,0.0001623908288675313,0.00022292319330754955,0.0001279654787640347,0.0005073918029990409,0.00022778764556544091,0.0009054200117013729,0.0002918786670805773,0.011575706151492783
Double Chocochips Muffin,0.0004925572482295411,0.0007216035876164758,8.63682678728959e-05,0.003139134729802532,0.0053740296128682715,0.015069504972499245,0.01307062099663759,0.06746264548744374,0.053504781871407635,0.025974689523546472
Vanilla Chocochips Muffin,0.0007134924585313014,0.0003558466490229763,0.0012663952214303908,0.0030016624119557854,0.010529338471730125,0.03770497320622686,0.005687757697411723,0.05506636691893326,0.05933119786667509,0.040938949287000995
Veg McMuffin,0.0018852575750445133,0.0013573195499231032,0.00022670377561287102,0.0023244587259115064,0.0034648810088286556,0.0011020046835805415,0.0023124975332988952,0.027043263366301338,0.01055979450886916,0.01811246272187325
