Produs,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
Mocha (L),0.17243375518083578,0.39025271926615723,0.006748906930815677,0.005117440197903786,0.2839067635679975,0.0006527184287448834,0.13726209157499128,6.111210238458972e-06,0.002351833245613896,0.0012676603967013485
Babycino,0.9510799938709438,0.00784059945687217,0.0021910917105562385,1.2053092051639202e-05,0.010124870557373033,5.111296141767632e-05,0.021998837895094246,0.00048201465734552655,0.006215825108697088,3.6006896487535076e-06
Hot Chocolate (S),0.08699468803159652,0.6901049075054427,0.00016699011331835042,0.011360798133875747,0.09215866750387551,0.0013931119944716411,0.09804556637905837,0.0013821236143607245,0.017809601192587888,0.0005835455314126953
Hot Chocolate (R),0.00018115635774550555,0.8885193974440293,0.0010362422666771406,0.013641849827893657,0.02916368763015406,0.002704075097082721,0.054175344018919755,0.00043724809701501917,0.009585491571814453,0.000555507688668395
Hot Chocolate (L),0.10738893414917611,0.7701740324084201,0.0002998663901820321,0.011633497260463442,0.055405582261854,0.0010764384066006315,0.046318750989840486,0.0005170671435362784,0.006679950751318048,0.0005058802386090484
Premium Dark Hot Chocolate,0.26443301321819085,0.008917221618640234,0.009935209075773154,0.014398274106720139,0.05694552871972501,0.13166978369749252,0.42132620385507724,0.009710721370955388,0.0826613531110585,2.6912263669660617e-06
Double Dark Hot Chocolate,0.06957109437520553,0.14750210242099931,0.004089466440041208,0.009767661140352171,0.03289517555689193,0.17322510235022115,0.4633913359281638,0.009593931707759459,0.08995919270243993,4.9373779253883746e-06
English Breakfast (S),0.6326629755594074,0.3602876990597341,0.0013301610875425377,0.0022006998752365945,0.000646228521168904,0.0017880719144883332,0.0006901909850465202,3.146742572522987e-06,8.809831221931038e-05,0.000302727942583806
English Breakfast (R),0.6315838564390558,0.36184820103856064,0.0011903297430983263,0.001932617546062945,0.0005014740587271748,0.001901955784819174,0.0005525761468246496,4.019614009806143e-06,0.00013946890205916533,0.0003455007267826308
English Breakfast (L),0.6285888902091131,0.3657493421870488,0.0008534763724809325,0.0013344347948638143,0.00020305956741788097,0.002208087235286592,0.0002706615142071555,6.594386856164666e-06,0.0003268261232272265,0.0004586276094987317
Moroccon Mint Green Tea (S),0.6446915677539569,0.3482880491764548,0.0016085146696410823,0.002751033520638154,0.0013587503800909808,0.0002144287967952254,0.0009256827561385529,3.042186319971753e-05,0.0001030134284756788,2.853765460880727e-05
Moroccon Mint Green Tea (R),0.6457855146209727,0.3476755534890749,0.0015037493490019666,0.0025467931794941135,0.0013012256846131978,0.00011704851410776213,0.000789575689230236,4.614588322515022e-05,0.0001588683114268023,7.552527885321909e-05
Moroccon Mint Green Tea (L),0.6486015737740577,0.3456818547043141,0.0012348370009036978,0.0020755914975685804,0.0011170724367021493,3.1205312471544246e-07,0.0005200465997619332,9.769899681652396e-05,0.0003757917524937547,0.0002952211842568426
Strawberry Green Tea (S),0.6429650763303468,0.35023082079520346,0.0015773671917279622,0.0026979560371395983,0.0014072871310022426,0.00028758952948759243,0.000703769048502275,4.1395290547275434e-05,6.181442197129042e-05,2.6924224071358522e-05
Strawberry Green Tea (R),0.6437969166426782,0.34992091900465944,0.0014686799524599005,0.0024882869653729727,0.001355880567178107,0.00018123430783032181,0.0005559374491422732,6.169155742532537e-05,9.888924138748027e-05,7.156431186597384e-05
Strawberry Green Tea (L),0.6456910304236182,0.348995504897241,0.0011871502345460617,0.001994789641798098,0.001191757627983071,1.986149550708728e-05,0.00025974078214805103,0.00013156443015998066,0.00024062607084924688,0.00028797439614928447
Lemon Ice Tea,0.7518645260295115,0.20698598930938725,0.00558097602374138,0.013164646520611311,0.017546820764791797,0.0009235796281511162,0.0019374613427791706,0.00016033316161723462,0.001832002279377449,3.664940031638014e-06
Strawberry Ice Tea,0.9249922577288837,0.04592378252109431,0.0025835496871666813,0.006715237707109624,0.014637763302469976,0.001445072523627372,0.002399273551237603,0.00010443339436416807,0.0011956007028204483,3.0288812260430528e-06
Green Apple Ice Tea,0.9301938330355962,0.04122692501865424,0.0024032709277549383,0.006149936804414689,0.015203126282446553,0.0010504050696752334,0.0023507362135380973,0.00014349860914836824,0.0012730960177306722,5.172021041073578e-06
Iced Coffee,0.6213692390759051,0.33480548687298123,0.0007246761177383028,0.009302250211539477,0.00595900321602747,0.00012920361933327812,0.027307785262137698,7.430264542279105e-05,0.00030841948814688163,1.9633490767571862e-05
Cold Coffee Frappe,0.055081494415497395,0.5746581509317007,0.0016098838078526735,0.03568650424144075,0.30237422975058353,0.003686858403024712,0.02124533783443842,0.005531246186504228,6.221578448188054e-05,6.407864447577809e-05
Mocha Frappe,0.06378219101383202,0.7823663950847755,2.6988498990127372e-05,0.009970302995528245,0.13310666065956803,0.00033369991999530934,0.0065652226085367495,0.0033681322834371264,0.000333661664260179,0.0001467452710766034
Chocolate Oreo Frappe,0.11004554190419286,0.7780868241531116,0.0003861465721807739,0.008324005855492743,0.09249738073979309,0.00023972005460962914,0.009138960145632351,0.001066797763157817,0.00015629424175775392,5.8328570071408225e-05
Strawberry Shake,0.057446570144136296,0.8862575186045272,0.0017275390960919382,0.00012990484507137257,0.047557002154676016,0.0031418841578908243,0.00206050357590356,0.0013929467957397256,0.0002199035160941004,6.622710986905427e-05
Chocolate Shake,0.029956212798244317,0.9263072911118739,0.0016940580522716074,0.0001042337124338378,0.03742774956217217,0.00018530775573238065,2.761941623213987e-05,0.0017528907657519258,0.002337515373955225,0.00020712145133243022
Mango Smoothie,0.20206817564927532,0.7671561372497147,0.0061537118543829065,0.017796614965537173,0.0015653822138270276,0.0004822413743164002,0.00471600820709762,2.731609239163364e-07,5.6706978865797394e-05,4.748346059159926e-06
Mixed Berry Smoothie,0.16316423251998477,0.8002764021748774,0.007928654821400875,0.023583184597480523,0.0007414944810888382,0.0007424492403866274,0.00328133402362523,9.866127282832738e-05,0.00018176138091526256,1.8254874122104508e-06
Raw Mango Cooler,0.9059188216270381,0.045296711584350405,0.002655600876173285,0.004093863206004015,0.03545787150975777,0.0014423548749567187,0.003782737294787123,0.0004513965279064109,0.0009004412411293989,2.0125789672059338e-07
Mix Berry Cooler,0.9074553308729992,0.05833164718369342,0.0023514583983009272,0.005051212743786999,0.022453492595365946,0.0006074677334052757,0.0024154490972304295,0.00025426111375262975,0.0010512345720391223,2.8445689426056022e-05
Sweet Lime Beverage,0.6733423782783506,0.2712725837180761,0.006676384946398074,0.014017262561740048,0.026054384272545705,0.0041834019011432145,0.004162527042506782,8.23680116812887e-05,0.00019477803252727574,1.3931235030938761e-05
